anio,archivo_homologado,carpeta_bloque,tipo_anio,modulo,filas_modulo,modulo_con_datos,estados_validacion,modulo_no_disponible_fuente
1993,huelgas_1993_homologado.xlsx,era1_homologados,excluido_sin_excel_fuente,actividad,0,0,no_disponible,1
1993,huelgas_1993_homologado.xlsx,era1_homologados,excluido_sin_excel_fuente,calificacion,0,0,no_disponible,1
1993,huelgas_1993_homologado.xlsx,era1_homologados,excluido_sin_excel_fuente,causas,0,0,no_disponible,1
1993,huelgas_1993_homologado.xlsx,era1_homologados,excluido_sin_excel_fuente,duracion,0,0,no_disponible,1
1993,huelgas_1993_homologado.xlsx,era1_homologados,excluido_sin_excel_fuente,organizacion,0,0,no_disponible,1
1993,huelgas_1993_homologado.xlsx,era1_homologados,excluido_sin_excel_fuente,tamano,0,0,no_disponible,1
1993,huelgas_1993_homologado.xlsx,era1_homologados,excluido_sin_excel_fuente,territorio,0,0,no_disponible,1
1994,huelgas_1994_homologado.xlsx,era1_homologados,parcial,actividad,9,1,ok,0
1994,huelgas_1994_homologado.xlsx,era1_homologados,parcial,calificacion,0,0,no_disponible,1
1994,huelgas_1994_homologado.xlsx,era1_homologados,parcial,causas,2,1,ok,0
1994,huelgas_1994_homologado.xlsx,era1_homologados,parcial,duracion,0,0,no_disponible,1
1994,huelgas_1994_homologado.xlsx,era1_homologados,parcial,organizacion,5,1,ok,0
1994,huelgas_1994_homologado.xlsx,era1_homologados,parcial,tamano,0,0,no_disponible,1
1994,huelgas_1994_homologado.xlsx,era1_homologados,parcial,territorio,33,1,estructura_mixta,0
1995,huelgas_1995_homologado.xlsx,era1_homologados,parcial,actividad,9,1,ok,0
1995,huelgas_1995_homologado.xlsx,era1_homologados,parcial,calificacion,0,0,no_disponible,1
1995,huelgas_1995_homologado.xlsx,era1_homologados,parcial,causas,2,1,ok,0
1995,huelgas_1995_homologado.xlsx,era1_homologados,parcial,duracion,0,0,no_disponible,1
1995,huelgas_1995_homologado.xlsx,era1_homologados,parcial,organizacion,5,1,ok,0
1995,huelgas_1995_homologado.xlsx,era1_homologados,parcial,tamano,0,0,no_disponible,1
1995,huelgas_1995_homologado.xlsx,era1_homologados,parcial,territorio,28,1,estructura_mixta,0
1996,huelgas_1996_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,actividad,8,1,ok,0
1996,huelgas_1996_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,calificacion,2,1,ok,0
1996,huelgas_1996_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,causas,2,1,ok,0
1996,huelgas_1996_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,duracion,7,1,ok,0
1996,huelgas_1996_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,organizacion,5,1,ok,0
1996,huelgas_1996_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,tamano,5,1,ok,0
1996,huelgas_1996_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,territorio,32,1,estructura_mixta,0
1997,huelgas_1997_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,actividad,8,1,ok,0
1997,huelgas_1997_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,calificacion,2,1,ok,0
1997,huelgas_1997_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,causas,2,1,ok,0
1997,huelgas_1997_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,duracion,6,1,ok,0
1997,huelgas_1997_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,organizacion,7,1,ok,0
1997,huelgas_1997_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,tamano,5,1,ok,0
1997,huelgas_1997_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,territorio,31,1,estructura_mixta,0
1998,huelgas_1998_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,actividad,7,1,ok,0
1998,huelgas_1998_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,calificacion,2,1,ok,0
1998,huelgas_1998_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,causas,2,1,ok,0
1998,huelgas_1998_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,duracion,6,1,ok,0
1998,huelgas_1998_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,organizacion,5,1,ok,0
1998,huelgas_1998_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,tamano,5,1,ok,0
1998,huelgas_1998_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,territorio,35,1,estructura_mixta,0
1999,huelgas_1999_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,actividad,9,1,ok,0
1999,huelgas_1999_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,calificacion,2,1,ok,0
1999,huelgas_1999_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,causas,2,1,ok,0
1999,huelgas_1999_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,duracion,6,1,ok,0
1999,huelgas_1999_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,organizacion,7,1,ok,0
1999,huelgas_1999_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,tamano,5,1,ok,0
1999,huelgas_1999_homologado.xlsx,era2_homologados_1996_1999,completo_layout_antiguo,territorio,42,1,estructura_mixta,0
2000,huelgas_2000_homologado.xlsx,era2_homologados_2000_2003,completo,actividad,6,1,ok,0
2000,huelgas_2000_homologado.xlsx,era2_homologados_2000_2003,completo,calificacion,2,1,ok,0
2000,huelgas_2000_homologado.xlsx,era2_homologados_2000_2003,completo,causas,2,1,ok,0
2000,huelgas_2000_homologado.xlsx,era2_homologados_2000_2003,completo,duracion,7,1,ok,0
2000,huelgas_2000_homologado.xlsx,era2_homologados_2000_2003,completo,organizacion,3,1,ok,0
2000,huelgas_2000_homologado.xlsx,era2_homologados_2000_2003,completo,tamano,5,1,ok,0
2000,huelgas_2000_homologado.xlsx,era2_homologados_2000_2003,completo,territorio,26,1,estructura_mixta,0
2001,huelgas_2001_homologado.xlsx,era2_homologados_2000_2003,completo,actividad,7,1,ok,0
2001,huelgas_2001_homologado.xlsx,era2_homologados_2000_2003,completo,calificacion,2,1,ok,0
2001,huelgas_2001_homologado.xlsx,era2_homologados_2000_2003,completo,causas,2,1,ok,0
2001,huelgas_2001_homologado.xlsx,era2_homologados_2000_2003,completo,duracion,6,1,ok,0
2001,huelgas_2001_homologado.xlsx,era2_homologados_2000_2003,completo,organizacion,5,1,ok,0
2001,huelgas_2001_homologado.xlsx,era2_homologados_2000_2003,completo,tamano,5,1,ok,0
2001,huelgas_2001_homologado.xlsx,era2_homologados_2000_2003,completo,territorio,25,1,estructura_mixta,0
2002,huelgas_2002_homologado.xlsx,era2_homologados_2000_2003,completo,actividad,10,1,ok,0
2002,huelgas_2002_homologado.xlsx,era2_homologados_2000_2003,completo,calificacion,2,1,ok,0
2002,huelgas_2002_homologado.xlsx,era2_homologados_2000_2003,completo,causas,2,1,ok,0
2002,huelgas_2002_homologado.xlsx,era2_homologados_2000_2003,completo,duracion,7,1,ok,0
2002,huelgas_2002_homologado.xlsx,era2_homologados_2000_2003,completo,organizacion,6,1,ok,0
2002,huelgas_2002_homologado.xlsx,era2_homologados_2000_2003,completo,tamano,5,1,ok,0
2002,huelgas_2002_homologado.xlsx,era2_homologados_2000_2003,completo,territorio,58,1,estructura_mixta,0
2003,huelgas_2003_homologado.xlsx,era2_homologados_2000_2003,completo,actividad,12,1,ok,0
2003,huelgas_2003_homologado.xlsx,era2_homologados_2000_2003,completo,calificacion,2,1,ok,0
2003,huelgas_2003_homologado.xlsx,era2_homologados_2000_2003,completo,causas,2,1,ok,0
2003,huelgas_2003_homologado.xlsx,era2_homologados_2000_2003,completo,duracion,7,1,ok,0
2003,huelgas_2003_homologado.xlsx,era2_homologados_2000_2003,completo,organizacion,5,1,ok,0
2003,huelgas_2003_homologado.xlsx,era2_homologados_2000_2003,completo,tamano,5,1,ok,0
2003,huelgas_2003_homologado.xlsx,era2_homologados_2000_2003,completo,territorio,45,1,estructura_mixta,0
2004,huelgas_2004_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,11,1,ok,0
2004,huelgas_2004_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2004,huelgas_2004_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2004,huelgas_2004_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,5,1,ok,0
2004,huelgas_2004_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,6,1,ok,0
2004,huelgas_2004_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,5,1,ok,0
2004,huelgas_2004_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,52,1,estructura_mixta,0
2005,huelgas_2005_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,10,1,ok,0
2005,huelgas_2005_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2005,huelgas_2005_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2005,huelgas_2005_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,6,1,ok,0
2005,huelgas_2005_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,6,1,ok,0
2005,huelgas_2005_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,5,1,ok,0
2005,huelgas_2005_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,55,1,estructura_mixta,0
2006,huelgas_2006_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,10,1,ok,0
2006,huelgas_2006_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2006,huelgas_2006_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2006,huelgas_2006_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,6,1,ok,0
2006,huelgas_2006_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,6,1,ok,0
2006,huelgas_2006_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,5,1,ok,0
2006,huelgas_2006_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,32,1,estructura_mixta,0
2007,huelgas_2007_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,10,1,ok,0
2007,huelgas_2007_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2007,huelgas_2007_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2007,huelgas_2007_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,6,1,ok,0
2007,huelgas_2007_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,5,1,ok,0
2007,huelgas_2007_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,5,1,ok,0
2007,huelgas_2007_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,54,1,estructura_mixta,0
2008,huelgas_2008_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,11,1,ok,0
2008,huelgas_2008_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2008,huelgas_2008_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2008,huelgas_2008_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,6,1,ok,0
2008,huelgas_2008_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,7,1,ok,0
2008,huelgas_2008_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,5,1,ok,0
2008,huelgas_2008_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,35,1,estructura_mixta,0
2009,huelgas_2009_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,10,1,ok,0
2009,huelgas_2009_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2009,huelgas_2009_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2009,huelgas_2009_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,6,1,ok,0
2009,huelgas_2009_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,5,1,ok,0
2009,huelgas_2009_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,5,1,ok,0
2009,huelgas_2009_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,36,1,estructura_mixta,0
2010,huelgas_2010_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,10,1,ok,0
2010,huelgas_2010_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2010,huelgas_2010_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2010,huelgas_2010_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,6,1,ok,0
2010,huelgas_2010_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,5,1,ok,0
2010,huelgas_2010_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,5,1,ok,0
2010,huelgas_2010_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,51,1,estructura_mixta,0
2011,huelgas_2011_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,12,1,ok,0
2011,huelgas_2011_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2011,huelgas_2011_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2011,huelgas_2011_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,6,1,ok,0
2011,huelgas_2011_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,5,1,ok,0
2011,huelgas_2011_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,5,1,ok,0
2011,huelgas_2011_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,41,1,estructura_mixta,0
2012,huelgas_2012_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,14,1,ok,0
2012,huelgas_2012_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2012,huelgas_2012_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2012,huelgas_2012_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,8,1,ok,0
2012,huelgas_2012_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,7,1,ok,0
2012,huelgas_2012_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,5,1,ok,0
2012,huelgas_2012_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,75,1,estructura_mixta,0
2013,huelgas_2013_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,13,1,ok,0
2013,huelgas_2013_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2013,huelgas_2013_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2013,huelgas_2013_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,8,1,ok,0
2013,huelgas_2013_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,7,1,ok,0
2013,huelgas_2013_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,5,1,ok,0
2013,huelgas_2013_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,62,1,estructura_mixta,0
2014,huelgas_2014_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,13,1,ok,0
2014,huelgas_2014_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2014,huelgas_2014_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2014,huelgas_2014_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,8,1,ok,0
2014,huelgas_2014_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,5,1,ok,0
2014,huelgas_2014_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,8,1,ok,0
2014,huelgas_2014_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,47,1,estructura_mixta,0
2015,huelgas_2015_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,10,1,ok,0
2015,huelgas_2015_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2015,huelgas_2015_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2015,huelgas_2015_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,8,1,ok,0
2015,huelgas_2015_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,4,1,ok,0
2015,huelgas_2015_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,8,1,ok,0
2015,huelgas_2015_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,29,1,estructura_mixta,0
2016,huelgas_2016_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,9,1,ok,0
2016,huelgas_2016_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2016,huelgas_2016_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2016,huelgas_2016_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,8,1,ok,0
2016,huelgas_2016_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,4,1,ok,0
2016,huelgas_2016_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,8,1,ok,0
2016,huelgas_2016_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,40,1,estructura_mixta,0
2017,huelgas_2017_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,10,1,ok,0
2017,huelgas_2017_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2017,huelgas_2017_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2017,huelgas_2017_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,8,1,ok,0
2017,huelgas_2017_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,4,1,ok,0
2017,huelgas_2017_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,8,1,ok,0
2017,huelgas_2017_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,43,1,estructura_mixta,0
2018,huelgas_2018_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,9,1,ok,0
2018,huelgas_2018_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2018,huelgas_2018_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2018,huelgas_2018_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,7,1,ok,0
2018,huelgas_2018_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,4,1,ok,0
2018,huelgas_2018_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,8,1,ok,0
2018,huelgas_2018_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,50,1,estructura_mixta,0
2019,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,10,1,ok,0
2019,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2019,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2019,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,7,1,ok,0
2019,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,4,1,ok,0
2019,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,8,1,ok,0
2019,huelgas_2019_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,30,1,estructura_mixta,0
2020,huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,completo,actividad,7,1,ok,0
2020,huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,completo,calificacion,2,1,ok,0
2020,huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,completo,causas,2,1,ok,0
2020,huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,completo,duracion,5,1,ok,0
2020,huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,completo,organizacion,4,1,ok,0
2020,huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,completo,tamano,8,1,ok,0
2020,huelgas_2020_homologado.xlsx,era2_homologados_2004_2020,completo,territorio,16,1,estructura_mixta,0
2021,huelgas_2021_homologado.xlsx,era3_homologados,completo,actividad,8,1,ok,0
2021,huelgas_2021_homologado.xlsx,era3_homologados,completo,calificacion,2,1,ok,0
2021,huelgas_2021_homologado.xlsx,era3_homologados,completo,causas,2,1,ok,0
2021,huelgas_2021_homologado.xlsx,era3_homologados,completo,duracion,8,1,ok,0
2021,huelgas_2021_homologado.xlsx,era3_homologados,completo,organizacion,4,1,ok,0
2021,huelgas_2021_homologado.xlsx,era3_homologados,completo,tamano,8,1,ok,0
2021,huelgas_2021_homologado.xlsx,era3_homologados,completo,territorio,24,1,"estructura_mixta, ok",0
2022,huelgas_2022_homologado.xlsx,era3_homologados,completo,actividad,11,1,ok,0
2022,huelgas_2022_homologado.xlsx,era3_homologados,completo,calificacion,2,1,ok,0
2022,huelgas_2022_homologado.xlsx,era3_homologados,completo,causas,2,1,ok,0
2022,huelgas_2022_homologado.xlsx,era3_homologados,completo,duracion,8,1,ok,0
2022,huelgas_2022_homologado.xlsx,era3_homologados,completo,organizacion,5,1,ok,0
2022,huelgas_2022_homologado.xlsx,era3_homologados,completo,tamano,9,1,ok,0
2022,huelgas_2022_homologado.xlsx,era3_homologados,completo,territorio,19,1,"estructura_mixta, ok",0
2023,huelgas_2023_homologado.xlsx,era3_homologados,completo,actividad,10,1,ok,0
2023,huelgas_2023_homologado.xlsx,era3_homologados,completo,calificacion,2,1,ok,0
2023,huelgas_2023_homologado.xlsx,era3_homologados,completo,causas,2,1,ok,0
2023,huelgas_2023_homologado.xlsx,era3_homologados,completo,duracion,8,1,ok,0
2023,huelgas_2023_homologado.xlsx,era3_homologados,completo,organizacion,5,1,ok,0
2023,huelgas_2023_homologado.xlsx,era3_homologados,completo,tamano,8,1,ok,0
2023,huelgas_2023_homologado.xlsx,era3_homologados,completo,territorio,24,1,"estructura_mixta, ok",0
2024,huelgas_2024_homologado.xlsx,era3_homologados,completo,actividad,11,1,ok,0
2024,huelgas_2024_homologado.xlsx,era3_homologados,completo,calificacion,2,1,ok,0
2024,huelgas_2024_homologado.xlsx,era3_homologados,completo,causas,2,1,ok,0
2024,huelgas_2024_homologado.xlsx,era3_homologados,completo,duracion,8,1,ok,0
2024,huelgas_2024_homologado.xlsx,era3_homologados,completo,organizacion,4,1,ok,0
2024,huelgas_2024_homologado.xlsx,era3_homologados,completo,tamano,8,1,ok,0
2024,huelgas_2024_homologado.xlsx,era3_homologados,completo,territorio,22,1,"estructura_mixta, ok",0
